,Comment,Emotion
1628,feel suspicious can not walk way like always thing football player know,fear
1629,feel anything adventurous stuck comfort zone order mcdonald,joy
1630,feel rarely advance worthwhile cause always stick rule post anything online would not prepared say somebodys face,joy
1631,remember wake feel anxious excited read bible amazing god change desire,fear
1632,feel like really strange stage life right enter th year,fear
1633,suddenly feel anxious cry little thing,fear
1634,also feel anxious around people sit waiting area,fear
1635,feel like weird limbo childhood adulthood,fear
1636,not get yet still resent pay dollar procedure not fully successful since wear glass year feel torture enough,anger
1637,remember feel much pain confused scared convince could,fear
1638,like much feel obnoxious getting involve somethign nothing,anger
1639,begin feel shake badly would never repair,fear
1640,roommate rude,anger
1641,feel pleased issue lot beautiful piece example maggie lee poem title href http vol,joy
1642,feel slightly irritable generally level head actually bad mood,anger
1643,feel little like cold come,anger
1644,much thankful feel jealous skinny girl seemingly disposable income shop mall seem,anger
1645,feel shaky today,fear
1646,seem wake every day recently feel immensely irritable can not quite work,anger
1647,tend stop breathe feeling stress,anger
1648,remember feel frantic point,fear
1649,happy kitchen feel like someone rush cut corner,anger
1650,feel strongly condone violent method achieve political goal,anger
1651,like listen hardcore sxe music one thing let feel rebellious chocolate spend till go,anger
1652,try buy fabric would use project feel really fab,joy
1653,feel determined regain routine proud,joy
1654,feel really disgusted pain agony,anger
1655,feel far perfect area motherhood,joy
1656,recall see leave fall tree set grey sky feel absolutely terrified,fear
1657,feel like want rebellious regret do single daughter,anger
1658,feel though reach point career highly respect,joy
1659,absolutely love skinny fiber wonder feel fabulous,joy
1660,already feel atmosphere around seem dangerous,anger
1661,ironic feel not feel anything special still smile broadly whenever tell something,joy
1662,mean could literally feel feel content,joy
1663,grandmother come stay we permanently difficult person stay start tell false story we people,anger
1664,feel safe leave house morning,joy
1665,feel like beluga whale quite grouchy,anger
1666,attack teenage boy wallet steal,fear
1667,feel smart tell people like wally lamb actually chick light always mention people respect,joy
1668,stay vienna class,fear
1669,feel like distract,anger
1670,fit beirut nagging feeling heartless place,anger
1671,feel extremely anxious,fear
1672,feel paranoid like step private club everyone know stand like nudist suit convention,fear
1673,feel back bouncy little chickie first find scene lot depth understanding world around,joy
1674,mean already parent moment iolani leave body tell feel like constantly fearful something horrible happen control,fear
1675,feel insecure month feel full oomph,fear
1676,need offer valuable constructive advice feel unsure negative writing,fear
1677,feel quite rebellious actually,anger
1678,probably love handful friend always feel bit strange describe love,fear
1679,could feel way honestly believe violent dangerous man,anger
1680,go exam could feel heart sink unsure answer flip flop decision random guess,fear
1681,however feel feel bit reluctant,fear
1682,also song write without feel bashful play music guitar without anyone tell turn,fear
1683,really start make feel really distraught upset time,fear
1684,feel anxious moment truth feel rather like tiger cage come test,fear
1685,keep feel weird sensation img src http,fear
1686,feel vulnerable people,fear
1687,feel stress learn lot give blog look time wish could,anger
1688,feel like actually support make use know love,joy
1689,really think justification feel smug,joy
1690,get pursue thing spark curiosity make feel useful,joy
1691,think act unkindness result form selfishness unkind require lack concern another person distorted feeling gain unkind,anger
1692,hope help feel less afraid support love,fear
1693,believe display deep emotional yearning semblance normality peace since appear dancing arab feel threaten fully armed soldier,fear
1694,feel brave lucky kind like heart break fall love time,joy
1695,feel suddenly get mad mom,anger
1696,could feel way cold medicine take chest sinus cold,anger
1697,uneasy feeling stupidly talented eagle mainly good position dangerously thin other,joy
1698,still feel cold swim not really count one early,anger
1699,feel kind talented right lol hmmm,joy
1700,feel guy think sincere honest intelligent,joy
1701,feel distinct feeling tell everything would ok thing would ultimately turnout good,joy
1702,feel like enraged,anger
1703,start feel wryly amuse banal comedy error life turn,joy
1704,lose distraught mainly state feel helpless,fear
1705,feel bitter jealous,anger
1706,already feel stress salvage friendship time go realize also another point not help,anger
1707,refuse rate book publisher feel snobbish take say jeanette winterson write essentially wish anything scope explore,anger
1708,know possible feel terrified,fear
1709,know feel personally offend many level,anger
1710,could least count not feel frantic group follow bird move north tree,fear
1711,feel like child yet could see give carefree way lestat,joy
1712,feel fucking rebellious rule regimented like class start take roll,anger
1713,feel kinda piss,anger
1714,sit windy beach feeling thoroughly annoyed vow back would climb scafell,anger
1715,feel excited family future,joy
1716,idea give vibe feel like pretty dangerous vibe give willy nilly,anger
1717,feel particularly annoyed co worker sometimes make round floor find literally pound white paper trash,anger
1718,feel neither impatient dickish reason,anger
1719,tell friend feel like sort backpack instead support idea get raise eye brow sarcastic remark,joy
1720,admit feel skeptical make change wonder natural sweetener well body refined sugar sugar end,fear
1721,leave appointment feeling really bum option vbac snatch also sort content fact pray possibly receive sign god birth,joy
1722,wish family not feel need keep constantly entertain around always bore mind irregardless not remotely appreciate effort tolerate everything whatever,joy
1723,naturally feel like well player,joy
1724,write feel slightly strange start write cambodia sit lax airport wait bi,fear
1725,feel vulnerable need mask go world desire cause need divert attention cover weakness probably make constructive use time try look pretty,fear
1726,go registration pass uneventful five minute feel deeply amused,joy
1727,remember feel husband feel would see people rude mom mom sweet self,anger
1728,love kim kardashion make tutorial always feel glamorous make,joy
1729,learn feel clay limit artistic expression become important mastery material,joy
1730,sleep vey irritable feel paranoid work oncology dpt hospital feel paranoiud cancer chemo,fear
1731,remember feel petrified,fear
1732,feel little uncertain structure revalidation portfolio,fear
1733,begin day feel intimidate courthouse design intimidate end day cheerfully chat judge chamber,fear
1734,also feel strongly support local economy past year proud drive gm car gm community,joy
1735,sure silly little blog ridiculous sometimes feel aggravate,anger
1736,love feeling something warmly hug feel precious small precious someone something,joy
1737,feel indecisive see work life play,fear
1738,feel dangerous invest market,anger
1739,leave feel invigorated,joy
1740,see direct message dm twitter former friend jeff long feel friendly toward,joy
1741,bring mind feel joyful laughter well within heart become hard remain weigh heavy negative feeling,joy
1742,feel quite anxious,fear
1743,honestly say every good thing life right crash feel stubborn ask help,anger
1744,set feel strangely nervous quite weak slowly work problem soon attempt tough problem,fear
1745,feel self assure feel whole,joy
1746,feel doubtful image pop mind deal big knot shoelace feel frustrated,anger
1747,feel like conor sincere,joy
1748,yell feeling extremely mad,anger
1749,think quit base need want other scar make people feel uncomfortable self injury make friend feel like offer enough support cutting something sad teenager,fear
1750,must feel little cranky,anger
1751,feel like important vote local stuff,joy
1752,feel like get frantic clue way turn direction life go even care,fear
1753,feel honored call rex dingler friend,joy
1754,feel come anything p doc fault mention feel irritable last appointment anything,anger
1755,still feel shaky realize feel intolerably hot time may mention polar opposite normally feel like,fear
1756,feel indecisive feel like security usually feel sense ground beneath foot suddenly go leave feel wobbly unhappy,fear
1757,feel mom simply feel greedy lack reaction mom leave type,anger
1758,feel pulse lip chase dragon suck lip heart tongue wish beg part finger translate sorrow reach inside soul anger breath mercy story unfold,anger
1759,feel like life good true,joy
1760,guess need see go feel nervous also excited,fear
1761,feel like not shake lately,fear
1762,strongly feel point life long desire walk path truthful clue go life,joy
1763,like listen weather get warm though make feel like carefree beach,joy
1764,trust kid however feel helpless enough many thing upset lack respect little thing ask,fear
1765,not feel much maybe sting terrify not know go hurt would problem know really situation,fear
1766,feel like pressure anything feel like make love husband connection assault rape,fear
1767,feel justify behavior faithful blog reader,joy
1768,need plan get rid feeling totally take everything totally distracted work everything try free time evening project take life fact totally feel burn,anger
1769,start feel overwhelmed come research book,fear
1770,start feel frantic rush try provide excellent care patient high tail home,fear
1771,feel generally dissatisfied lose,anger
1772,long wear shirt without feel like support totally different band,joy
1773,feel violent wanna kill someone anyone kiss,anger
1774,sense wat let feel unsure,fear
1775,work amount would like feel like lifestyle change successful far,joy
1776,wait feeling special feeling make life easy bearable,joy
1777,feel extremely agitated come home china,fear
1778,feel ok go world work buy food go walk,joy
1779,miss way make feel point accept betray never go back,joy
1780,feel timid six time wise sixty six,fear
1781,face turn red feel shy emm,fear
1782,feel particularly obnoxious tonight,anger
1783,want say want feel come bitter angry,anger
1784,hope look back future feel glad document small way feel possible even love,joy
1785,feel like selfish bitch feel way countless impoverished people suffer surely hundred fold,anger
1786,bop around house yesterday singe possibly loud bit feel charming oh charming,joy
1787,want woman feel envious figure say oooh never guess baby,anger
1788,could already feel difference strength technique class three class start find balance though still pretty shaky business,fear
1789,feel like garbage can not think thankful right hurt badly,joy
1790,know people may cringe feel something say wanna get mad well get mad,anger
1791,never feel fuck week use feel great acctually thinking wonderfull time weekend img src http israel,anger
1792,feel super bad,joy
1793,like person become feel much carefree liberated time not recognize,joy
1794,want avoid feel terrified,fear
1795,feel eager press,joy
1796,feel would obnoxious,anger
1797,feel like actually somewhat well right get swing,joy
1798,post feel like super mom manage care child fiance house one day work little sleep,joy
1799,feel ok kai take emotion feel today,joy
1800,love take people smile way child giggle gorgeous way little one move close mom stranger smile feel scared way teenager boisterous full life hope,fear
1801,woman feel greedy want kairi,anger
1802,feel uncertain uneasy,fear
1803,go gush much relationship know feel content day,joy
1804,feel like soda shake turbulently fly violently container moment feel air exchange freedom,fear
1805,like type assumption make feel bit positive,joy
1806,feel obnoxious say,anger
1807,eat feel hateful towards number,anger
1808,feel like rude first place long not snappy every right ask touch,anger
1809,feel like lose motivation since scale unkind lately get attitude possibly throw away everything work,anger
1810,feel strongly line want draw sand speak afraid especially point bring feel conclusion entail etc,fear
1811,feel think respect,joy
1812,hope enjoy read please feel free leave comment,joy
1813,feel smile love even gorgeous,joy
1814,start feel alarmed voice noisy actually could not listen thought,fear
1815,actually feel inside dangerous apart shoulder feel really amazing,anger
1816,feel way consider people pretend way sincere,joy
1817,feel little skeptical today,fear
1818,feel like might engineer hostile situation mean war missile testing drop spy plane sky rest overwhelmingly chromosome bored,anger
1819,feel say anything make look petty,anger
1820,feel really greedy say,anger
1821,feel people know fish properly therefore popular,joy
1822,feel little overwhelmed whole thing lately somehow small step find lecture help bit,fear
1823,afraid environment make feel relaxed cause,joy
1824,sort hate glass make eye look small since huge eye go quite upset hope big frame make feel less paranoid,fear
1825,also find feel cold get broom scrub brush vinegar old newspaper give house go,anger
1826,go post training schedule next several month right refer easily anyone feel like support join,joy
1827,feel particularly dangerous chocolate cookie,anger
1828,know happen might still feel real feel dangerous plan go anywhere time soon,anger
1829,feel insult,anger
1830,feeling intimidate work,fear
1831,know perhaps girl office nice short hair perhaps feel rebellious,anger
1832,every right feel outraged legacy may danger,anger
1833,guess sucker grand endless battle apparent good apparent evil different anyone else feel divine gift discernment situation like,joy
1834,could loose job would f amp ed xmas hate xmas hate holiday wish would go away feel nervous feel sad disappoint family friend,fear
1835,feel irritable like run def cure,anger
1836,feel slightly intimidate,fear
1837,probably go none hope date admire confident girl feel fine without makeup,joy
1838,leave feel paranoid like keep get hard feel happy,fear
1839,mean complete spiritually intellectually believe never however find sometimes look other knowledge sense feel superior feeling along journey,joy
1840,feel little anxious,fear
1841,get feeling torture,anger
1842,feel pressured crunch time loom deadline hit airport thursday know ill busy worry item day,fear
1843,feel valuable href http idreamculture,joy
1844,discuss previously last blog post apprehensive audience become towards bathroom automatically feel nervous become fantastic trope horror fiction,fear
1845,want hug drink beer together neither feel torture time,anger
1846,frightened feel paranoid,fear
1847,surmise make sick one many time take sitcom run come around feel dissatisfied stationary life without much forward motion,anger
1848,want bury hatchet even though would good interest simply feel apologize person insult would make feel like punk,anger
1849,also feel paranoid everyone listen phone conversation,fear
1850,feel blessed able help,joy
1851,feel never escape something draw attention forehead distress imagine old age turn scrunching permanent wrinkle,fear
1852,cross safe footing yet still feel way fearful unknown shaky uncertain,fear
1853,begin feel agitated slightly dizzy amp hungry,fear
1854,feel like nurse reluctant know start optimistic one thing help,fear
1855,wake feel confident watch bodypump dvd gather coach tip compulsory cue,joy
1856,feel like drinkin drinkin angry someone go to die whiskey beer les paul href http farm,anger
1857,start feel nervous thinking plan feed young teen,fear
1858,feel jakun amuse whole minute,joy
1859,muster energy feel christmassy remember feel kind pissed bad timing everything,anger
1860,could ingrain mind feeling experience read hate everything happen next book could go back first pretend nothing ever happen past,anger
1861,feel like flagellate like weird albino priest angel demon every time see face,fear
1862,block could least something constructive room need major cleaning instance feel agitated least research story require lot research,anger
1863,land dubai start feel ok come,joy
1864,feel job give tool need successful person,joy
1865,know probably not write sort angry passion blog never want feel inhibit post,fear
1866,however want know something someone cause feel less splendid self step away,joy
1867,give time feel point friendship one can not bother,anger
1868,feel convinced ideal therapist presumably able professional necessity understand another person uniqueness wholeness without presupposition ought least fairly healthy human,joy
1869,feel rather self satisfied teen daughter facebook friend,joy
1870,hate feel fuck time,anger
1871,still feel irritable every day,anger
1872,go church service youth feel like hate know one,anger
1873,like feel pressured yet like spend time,fear
1874,feel impatient easily annoy outraged blatant defiance seem olivia prominent characteristic day,anger
1875,feel bit insult nothing like woman bloody hate incessant bitching general bloody nothing time,anger
1876,complete card ago feel reluctant post,fear
1877,feel rather bother physical mental clock still october,anger
1878,keep run hill fitness wise feel fine along foot calf start hurt also begin tire,joy
1879,begin think cut rank frugal antic improv challenge begin feel bit insecure first entry last month,fear
1880,see time feel anxious live eat,fear
1881,feel extremely honoured flatter turn advice matter hope help decision,joy
1882,begin feel terribly rude cause become depressed,anger
1883,feel outfit heel gorgeous,joy
1884,always feel pressured make perfect fit audience gorgeous creativity,fear
1885,feel irritation anger feel insult,anger
1886,remember know crazy love without shadow doubt make feel gorgeous always,joy
1887,feel pressured social situation yes much anymore love body enough abandon sake someone else belief,fear
1888,really hate feeling really give much damn someone really person show simply like can not bother,anger
1889,feel stressed get accomplish little amount time,anger
1890,start feel reluctant go want spend time family leave,fear
1891,hate get behind feel pressured get back date move project,fear
1892,feel frantic sleep,fear
1893,go crazy leas feeling pleasent fearful,fear
1894,feel world class player benzema mould would fantastic,joy
1895,leave today feel anxious sad lonely,fear
1896,answer feel clever,joy
1897,feel angry resentful need remind day sober make possible fellowship support way,anger
1898,keep laptop close search job could build career look important christmas recipe make year feel little special,joy
1899,read story leave feel confused frustrated little angry,fear
1900,look forward feel well write often,joy
1901,reach feel uncertain need support slap upside head know provide,fear
1902,mean feel feel like feel burden can not breathe suddenly terrified october past week,fear
1903,not know can trust not know feel trust,joy
1904,know almost feel angry within something tangible pragmatic help sister,anger
1905,child song make smile bring mediterranean love sea feel bone make frightened surprise every day somehow many way,fear
1906,lure idea event promise free champagne know brilliant talk bestselle author kathy lette leave feeling genuinely inspire empower,joy
1907,see piano either new cheap large always something miss make feel uncertain buy,fear
1908,feel like need make list leanne would appal thought not miss anything,anger
1909,feel bitter honkerblonke general,anger
1910,feel like whirlwind next try impatient wait,anger
1911,overcome heat start feel weird,fear
1912,end shoeless make feel even vulnerable slow,fear
1913,able guess pick lot plot twist episode first hint give whether moffat use really obvious foreshadowing solid grasp narrative logic sure like build suspense make feel clever,joy
1914,feel like manager everyday feel respected day well,joy
1915,feel really annoyed today,anger
1916,feel rather stress preparation prom night,anger
1917,like ending feel like little bit rush,anger
1918,feel mellow side today,joy
1919,hope make feel greedy shit hope make feel greedy whore like sniiiiifff honey try make feel loved happy,anger
1920,feel shy cause realize people behind not dance look we gt,fear
1921,say first listen yunhos rap give wtf feeling listen couple time determined learn,joy
1922,cycle past park car someone open door nearly push bike traffic,fear
1923,suppose ought feel thankful add sarcastic edge age,joy
1924,send home still feel bit shaky dizzy,fear
1925,afrade life people feel quite hostile towards,anger
1926,post past event feel like insult,anger
1927,feel like bird fly air carefree manner,joy
1928,feel impatient many way equally aware important learn season,anger
1929,feel little come divine center,joy
1930,resort yesterday post peak day illness still housebound feel agitated peckish brew href http pic,fear
1931,make one feel call make sweet jesus sacrifice everything,joy
1932,feel order prevent lot company violent manager sort formal training well mental evaluation,anger
1933,not want approach topic lightly time feel apprehensive put,fear
1934,sit feel bit grumpy moanday blue anyone else feel way,anger
1935,good conscience encourage young kid read stuff someone feel vile matter good,anger
1936,actually feel really eager,joy
1937,break leave feel bitter,anger
1938,can not help feel bi jealous professional organization good support system comfortable living situation,anger
1939,tutorial fearful feeling come sit chair look fellow student around really scared would ask question challenge idea present,fear
1940,feel talented impact thing end moment,joy
1941,thing christ give strength lovely little verse repeat feel little unsure something,fear
1942,hate feel despise detest someone truly care completely love,anger
1943,feel nervous anyone get close,fear
1944,feel helpless time wherein practically option sit watch drama,fear
1945,feel bit shake stir nice bond reference ehh,fear
1946,stay awake whole night feel energetic stuff,joy
1947,know specific almost everyone else similar experience still help feel appalled,anger
1948,feel agitated today,fear
1949,notice lump feel pain part body somehow become fearful scared,fear
1950,not feel much casual,joy
1951,teach look like could make feel scared confuse excited nervous,fear
1952,feel insulted show opportunity finger door present prize two week italy,anger
1953,want look make people feel ok ask question,joy
1954,feel little strange chasing since disappointed brand whole,fear
1955,feel like everything nothing sincere bother want hurt even tell,joy
1956,not feel much like talk nothing bad feel sociable way,joy
1957,feel little dissatisfied picture last couple month,anger
1958,make vj feel jealous,anger
1959,feel disgusted ashamed,anger
1960,feel really quite angry,anger
1961,feel reluctant player even find library sage identify stuff,fear
1962,put palm blow hope get ear universe feeling little generous day reach,joy
1963,understand feel anxious,fear
1964,not feel obnoxious not feel like anything sulk,anger
1965,fear thief,fear
1966,power make another want reality feel threatened desire control person href https eqafe,fear
1967,look forward continue challenge feel appreciative boost get nutrition healthy track especially pregnancy important time life eat healthy,joy
1968,often feel bother inability stop love people matter much time pass deeply wrong,anger
1969,get depress feel talente enough never create beautiful piece art,joy
1970,boyfriend split come friend house visit male friend confrontation another room try find arouse friend feel part,anger
1971,find question put right edge bring love dharma world edge feel vital necessary,joy
1972,feel fine read rest,joy
1973,feel somewhat indecisive term alliance,fear
1974,not get wink sleep night continue feel fabulous next morning,joy
1975,still use blogger follow blog like livejournal feature enable private post keep one journal without feel inhibit write thing not want publish net,fear
1976,grit tooth shake head spend next minute feel irritated,anger
1977,probably reason feel bit agitated,fear
1978,feel weigh fill thought try homework help special olympic,joy
1979,feel wimpy complain take credit semester know people take credit regularly man suck,fear
1980,feel pressured talk,fear
1981,feel pretty weird consider friend colleague nyc new jersey go reality,fear
1982,feel cranky cooperative allow sleep relax give opportunity fault body slam boss harass museum visitor,anger
1983,notice feel little apprehensive even share,fear
1984,often feel work like hopefully benevolent goliath often undo humble david,joy
1985,feel fabulous,joy
1986,confess feel little apprehensive,fear
1987,feel like fine sex fully aware happen due action know different type protection prevent pregnancy,joy
1988,take look try get use feeling touch innocent,joy
1989,one sit stare blank computer screen scratch head time drink couple pot coffee feel triumphant write first sentence first sentence usually consist poop joke,joy
1990,swamp uncare unfeele fuck apathetic humanbeing will not pull head ass long enough turn around look say see,anger
1991,feel like need tattoo peggy mara quote onto arm see next time feel disgusted disdainful disappoint child behavior,anger
1992,feel pretty shy right not know,fear
1993,ill get round quarter feel hopeful one,joy
1994,feel little bit hostile towards ex today,anger
1995,know pain parent feel enraged child become violent,anger
1996,read novel make feel relaxed,joy
1997,want something personalize appreciate least feel real sincere give,joy
1998,even feel welcome fold,joy
1999,feel invigorated one,joy
2000,look good feel good crappy cold deal,joy
2001,not feel like move around thing go fine,joy
2002,feel restless today,fear
2003,feel weird morning,fear
2004,feel proud,joy
2005,truly feel irate,anger
2006,feel little paranoid may forget learn,fear
2007,feel many petty people judge simply may one,anger
2008,know god say stuff yet right begin feel anxious,fear
2009,feel bitter want rise,anger
2010,feel impatient much thank nic know calm,anger
2011,feel fuck tape last year make sure get,anger
2012,feel vulnerable come election give performance,fear
2013,could feel joy rage come one glad feel back also glad go yoga tonight sometimes need know well crossfit coach side plank img src http,joy
2014,enjoy feeling belong sense recognise somehow valuable,joy
2015,feel like shake around throw,fear
2016,wake feel distraught aware something terrible happen soon,fear
2017,feel fuck nothing cheer,anger
2018,feel like one brain rude refuse sit loud rude people sit alone good book,anger
2019,feel quite jolly spite heat lack commercialism,joy
2020,build angie feel profoundly betray angry,anger
2021,take lightly like probably feel little skeptical product sell internet way become successful online,fear
2022,not convince soulmate feel reluctant use word regard chemistry actually unlike anything ever experience,fear
2023,feel unease room living room pleasant,joy
2024,feel feel reluctant,fear
2025,feel lot confident path choose,joy
2026,wait girlfriend come apt mine late think something awful happen,fear
2027,think make know feel cold weather friend ready winter finish please please finish,anger
2028,feel student classroom hostile towards display intellect like rest society,anger
2029,think feel flush alarm headache medicine cause sometimes,fear
2030,feel energetic alive happy long time,joy
2031,may feel relieved satisfied probably fun,joy
2032,feel terrific implement alternative medicine maintain health,joy
2033,honoured young woman feel comfortable enough ask kind faux hawk thing go back must look dykey enough feel safe talk,joy
2034,feel despite pain make suspicious might,fear
2035,also pretty close exit window feel like make look freakishly neurotic,fear
2036,still feel little hesitant plunge multitude colored pencil nonetheless,fear
2037,hope enjoy feel offend,anger
2038,feel enormously honour include list,joy
2039,feel comfortable water,joy
2040,hate hurt feeling hate date somebody love hate pretend lie friend really treassure,anger
2041,feel incredibly nervous,fear
2042,feel restless step kitchen whip crunchy sweet treat,fear
2043,anxious see movie bully trailer leave feel shake nostalgic,fear
2044,hope condescend attitude allow present feel offend remember amount sunlight affect plant growth,anger
2045,feel like not really care alexis irritated even tell,anger
2046,already pack want wait around talk friend feel irritable tired eventually give try go first place make feel situation,anger
2047,feel overwhelmed stress pressure inside something magical happen take shoe go walk park beach,fear
2048,achieve specific athletic goal feel pretty fine form,joy
2049,feel uncertain,fear
2050,feel self satisfied proving get without car one typical americans dependent car foreign oil,joy
2051,probably go back washington permanently baby least although tear whether want yes bleu know feel still completely convinced,joy
2052,feel bitchy hurt,anger
2053,feel little skeptical would arrive time situation improve fact despite various perfect party setup seek ffxi nobody bother set include duh lazy,fear
2054,feel somewhat relieved disappoint two qualified venue question neither bother make observation,joy
2055,fear would feel resentful process not happy,anger
2056,tell dh feel internally shaky,fear
2057,feel especially thankful many small blessing life right,joy
2058,feel honored grateful wonderful people entrust we beautiful boy son,joy
2059,feel tip give useful especially parent young kid like,joy
2060,feel like people aggravate,anger
2061,sometimes feel like artistic redcoat,joy
2062,feel peaceful good nature,joy
2063,feel bit doubtful last couple week,fear
2064,get feeling hate would admit let know hate every single obstacle keep every single leaden block keep place clear path one another arm,anger
2065,feel read word realize one time good writer feeling share sympathy,joy
2066,feel helpless well protect,fear
2067,start feel really confused,fear
2068,feel like talente young man feel talented work,joy
2069,feel super shift super circle,joy
2070,need hold hug like love really love quiet sit stop something stupid can not parent cos know run can not run people feel rude,anger
2071,show feeling well family fan either,joy
2072,believe feel nervous father reassure nothing nervous make nervous,fear
2073,feel pretty restless right type,fear
2074,feel pressured dumb feeling,fear
2075,feel hateful give friendship woman couple other reason admit defeat let husband make feel insecure feel need avoid cut life security challenge,anger
2076,tend want cook feel grumpy tired stress,anger
2077,feel resolve soon enough damaging effect hard work girlfriend put relationship,joy
2078,remember mix hear first remember make feel irritable,anger
2079,try tell feelbut never smart,joy
2080,know effect day day happening serenity subtle time end feel irritable discontent without know,anger
2081,stop feel cold begin feel hot,anger
2082,decide first time month try wear ugly pink black running shoe least feel little bit cute go,joy
2083,feel genuinely shy cautious woman home read shade think something wrong not orgasm someone touch boob,fear
2084,remember feel annoyed also wonder stop buy something,anger
2085,ask one gift go sister house everyone gather holiday feel impolite show empty handed,anger
2086,not want put pressure upon minor feel like would useful without,joy
2087,leave place feeling slightly shake hard read hear thing,fear
2088,feel eager hop tube ride eye london,joy
2089,love treadmill actually used actually feel intimidate run outside,fear
2090,feel satisfied necessarily forget pain feel,joy
2091,feel intimidate wide open design therefore find hard write,fear
2092,also feel proud,joy
2093,receive good news joy like magi feel threaten god message like herod,fear
2094,feel bring come savage wax doll cloud blow across tak feeling bare foot move fast bring love time yet make,anger
2095,go mode want write feel disgusted write,anger
2096,completely lose ability segregate feeling action rude hurtful father husband also hero good friend heart,anger
2097,write feel bit anxious,fear
2098,feel fuck time able concentrate anything amp feel anxiety time everything make stress apathetic amp can not handle stress,anger
2099,feel overwhelmed lately,fear
2100,devote significant amount emotional energy feel anxious thus become irritable frustrated little provocation,fear
2101,feel hateful alone,anger
2102,feel irritated peaceful,anger
2103,still feel uncertain many new path must travel lose feel sometimes sure heavenly father lift help feel joy thing matter,fear
2104,feel like every one one attitude aggravate ask,anger
2105,feel dissatisfied distract life,anger
2106,feel tad rebellious right,anger
2107,feel little calm irritable impatient,anger
2108,inquire incheswhyinche people relocate drove feel security precious metal,joy
2109,feel agitated nervous anxious,anger
2110,go elated laugh plunge back extreme misery simple exchange feel dangerous,anger
2111,feel really effect attitude toward feel bitter angry,anger
2112,experience feel people get charm attract someone time enough blessing,joy
2113,overwhelmed joy receive acceptance letter unza happen pass first year course,joy
2114,spend lot childhood feeling completely frightened remember lot good thing,fear
2115,really feel amp not uptight expectation other meet,fear
2116,also find challenging wrap story bring good closure conclusion leave reader feel cheat rush,anger
2117,say not know believe important day ever live want share feel important day life,joy
2118,think nobody reach feel suspicious,fear
2119,struggle fit work module feel frustrate time feel blog rush although read great interested fellow student blog feel not interact much could do definite area development,anger
2120,feel relaxed playing carl clarke say,joy
2121,car roommate family feel like rude call dad dad give direction keep ask need bring,anger
2122,learn one default reaction feel threatened,fear
2123,feel less bother get rape stick ass think statement like say lot speaker target,anger
2124,seem feel little less anxious week sure wish could check every week doctor instead schedule,fear
2125,slowly pay debt feel generally happy,joy
2126,not know feel fearful,fear
2127,sit computer feel nervous excited little silly,fear
2128,look around people around feel almost slightly envious way motivate sit study hard,anger
2129,start feel nervous lifetime fandom build stand don vip sticker,fear
2130,lose lbs january year wicked part feel keen try new clothing tell deserve new clothing,joy
2131,stop look solution problem stop feel like dissatisfy,anger
2132,raphael say grasp usual eloquence feel slip finger spiteful ease,anger
2133,still feel insecure,fear
2134,feel safe encode utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlink link rel alternate type application atom xml title could use stand ovation could,joy
2135,clean place minute start feel paranoid assume beginning psychotic episode,fear
2136,glance window people stroll sidewalk carefree suddenly feel envious reason explain,anger
2137,feel little frustrated ache longing settle heart weariness life slip around shoulder like unwelcome friend,anger
2138,think easy time year feel dissatisfied,anger
2139,press play yeah watch movie five time row right feel satisfied can not wait share make friend,joy
2140,get lot praise feel proud sometimes,joy
2141,feel much like experience strange head neck twinge,fear
2142,eat particularly dreadful railway burger feel irritated even read remark hence suggestion call environment secretary,anger
2143,feel apprehensive future moment,fear
2144,would throw thing feel terrified agitated,fear
2145,lie bed leg constant motion feel control shake tap something,fear
2146,feel cool seldom empty pale,joy
2147,feel person politician allow dog run around street dangerous other,anger
2148,wonder bias fact bible themed anthology feel like intelligence insult,anger
2149,warn feel cranky morning,anger
2150,feel annoyed img class aligncenter size full wp image src http mrdanbaird,anger
2151,sort suspect go feel resentful really show good side,anger
2152,feel innocent love,joy
2153,see anything would cause feel fearful distrustful,fear
2154,leave tonight feel hopeful future orphan crisis country,joy
2155,like feel work puzzle help improve fine motor skill teach follow set instruction order make something,joy
2156,feel dissatisfied pass weekend,anger
2157,remember spend hour try bump score mark feel frustrate question mixture professor generate usmleasy one,anger
2158,feel less fearful today ptl,fear
2159,boyfriend last tell love give impulsive kiss,joy
2160,feel special amp bless care amp creative family,joy
2161,begin feel anxious ask help,fear
2162,love autumn everything come although feel get excite christmas way early year friend include href http andthenwear,joy
2163,feel weird href http bondmusing,fear
2164,tell people feel like try convince people innocent one believe,joy
2165,feel simultaneously superior inferior writer wish could take back thing say,joy
2166,still work guilt feel selfish self preservation without justification must survive bring baby,anger
2167,think apologize little much stuff control get feeling sincere one,joy
2168,feel overwhelmed rush,fear
2169,feeling leave relax enough really justice,joy
2170,feel like would clever get ton thing time,joy
2171,come home work often feel irritable fair love dump ugliness onto husband,anger
2172,feel completely honored influence young talente fully alive beautiful girl woman,joy
2173,glad god feel safe,joy
2174,hope always remain grateful even feel little unsure endeavor,fear
2175,still cramp plus get really dizzy stand whole body ache generally feel extremely uncomfortable,fear
2176,not cry start feel neurotic sister amazingly chill morning bring ativan,fear
2177,feel educate family support educationg mama papa key,joy
2178,feel write truly innocent even though quite bit feeling involve,joy
2179,feel like go supermarket buy something totally delicious dinner money mother put account today,joy
